iter	Passed	Remaining
413	3176	4496
414	3182	4486
415	3189	4477
416	3196	4468
417	3202	4458
418	3210	4452
419	3219	4445
420	3225	4435
421	3233	4428
422	3238	4418
423	3246	4410
424	3254	4403
425	3263	4397
426	3271	4390
427	3280	4384
428	3288	4377
429	3296	4369
430	3303	4361
431	3311	4353
432	3318	4345
433	3325	4336
434	3332	4327
435	3341	4323
436	3351	4317
437	3360	4311
438	3367	4302
439	3373	4293
440	3379	4283
441	3386	4274
442	3395	4268
443	3401	4259
444	3408	4251
445	3415	4243
446	3422	4234
447	3428	4224
448	3435	4216
449	3444	4209
450	3450	4200
451	3456	4191
452	3463	4181
453	3469	4173
454	3477	4165
455	3484	4157
456	3491	4148
457	3497	4139
458	3504	4130
459	3510	4121
460	3518	4113
461	3524	4104
462	3532	4096
463	3539	4089
464	3547	4081
465	3555	4074
466	3561	4065
467	3568	4056
468	3575	4048
469	3581	4039
470	3587	4029
471	3595	4021
472	3601	4012
473	3607	4003
474	3613	3993
475	3620	3985
476	3626	3976
477	3634	3968
478	3640	3959
479	3647	3951
480	3653	3942
481	3658	3932
482	3666	3924
483	3673	3916
484	3680	3907
485	3686	3898
486	3693	3891
487	3699	3881
488	3705	3872
489	3711	3863
490	3720	3856
491	3728	3850
492	3737	3843
493	3746	3837
494	3753	3829
495	3759	3820
496	3767	3813
497	3774	3804
498	3782	3798
499	3793	3793
500	3799	3784
501	3806	3775
502	3815	3769
503	3824	3763
504	3832	3756
505	3838	3747
506	3846	3739
507	3852	3731
508	3858	3722
509	3866	3714
510	3871	3705
511	3877	3695
512	3883	3687
513	3889	3677
514	3898	3671
515	3908	3666
516	3917	3659
517	3925	3652
518	3932	3644
519	3940	3637
520	3948	3630
521	3954	3621
522	3963	3614
523	3969	3605
524	3975	3596
525	3981	3587
526	3987	3579
527	3995	3571
528	4001	3562
529	4006	3553
530	4012	3543
531	4019	3535
532	4026	3528
533	4035	3521
534	4041	3512
535	4047	3503
536	4055	3496
537	4060	3487
538	4069	3480
539	4077	3473
540	4084	3465
541	4090	3456
542	4097	3448
543	4103	3439
544	4109	3430
545	4117	3423
546	4126	3417
547	4132	3408
548	4139	3400
549	4145	3391
550	4151	3382
551	4157	3374
552	4164	3366
553	4173	3359
554	4180	3351
555	4186	3342
556	4192	3334
557	4198	3325
558	4205	3317
559	4213	3310
560	4219	3301
561	4226	3293
562	4232	3284
563	4238	3276
564	4246	3269
565	4253	3261
566	4258	3252
567	4265	3244
568	4271	3235
569	4280	3229
570	4291	3224
571	4301	3218
572	4309	3211
573	4318	3204
574	4325	3196
575	4330	3187
576	4337	3179
577	4345	3172
578	4351	3163
579	4356	3154
580	4363	3146
581	4369	3138
582	4376	3130
583	4382	3122
584	4391	3115
585	4397	3106
586	4405	3099
587	4411	3091
588	4420	3084
589	4426	3075
590	4432	3067
591	4440	3060
592	4447	3052
593	4454	3044
594	4461	3036
595	4467	3028
596	4472	3019
597	4479	3011
598	4487	3004
599	4496	2997
600	4503	2990
601	4512	2983
602	4518	2975
603	4526	2967
604	4532	2959
605	4538	2951
606	4546	2943
607	4557	2938
608	4563	2930
609	4572	2923
610	4579	2915
611	4585	2907
612	4591	2898
613	4597	2890
614	4605	2882
615	4612	2875
616	4620	2867
617	4628	2860
618	4634	2852
619	4641	2844
620	4647	2836
621	4653	2827
622	4660	2820
623	4667	2812
624	4674	2804
625	4680	2796
626	4689	2790
627	4696	2781
628	4702	2773
629	4709	2765
630	4715	2757
631	4721	2749
632	4728	2741
633	4734	2733
634	4740	2724
635	4747	2717
636	4754	2709
637	4760	2700
638	4766	2692
639	4772	2684
640	4777	2675
641	4784	2667
642	4791	2660
643	4797	2652
644	4803	2643
645	4809	2635
646	4815	2627
647	4821	2619
648	4828	2611
649	4834	2603
650	4844	2597
651	4851	2589
652	4859	2582
653	4866	2574
654	4875	2567
655	4884	2561
656	4892	2554
657	4899	2546
658	4906	2538
659	4914	2531
660	4920	2523
661	4930	2517
662	4936	2509
663	4943	2501
664	4950	2493
665	4957	2486
666	4966	2479
667	4972	2471
668	4981	2464
669	4987	2456
670	4993	2448
671	5000	2440
672	5007	2432
673	5013	2425
674	5019	2416
675	5026	2408
676	5031	2400
677	5039	2393
678	5048	2386
679	5055	2378
680	5064	2372
681	5070	2364
682	5078	2356
683	5084	2349
684	5091	2341
685	5097	2333
686	5104	2325
687	5109	2317
688	5117	2309
689	5125	2302
690	5132	2294
691	5140	2288
692	5150	2281
693	5156	2273
694	5164	2266
695	5173	2259
696	5178	2251
697	5188	2244
698	5194	2236
699	5200	2228
700	5205	2220
701	5214	2213
702	5222	2206
703	5229	2198
704	5238	2191
705	5245	2184
706	5251	2176
707	5258	2168
708	5267	2161
709	5275	2154
710	5283	2147
711	5289	2139
712	5295	2131
713	5303	2124
714	5311	2117
715	5319	2109
716	5325	2102
717	5332	2094
718	5338	2086
719	5345	2078
720	5352	2071
721	5358	2063
722	5365	2055
723	5374	2048
724	5382	2041
725	5392	2035
726	5399	2027
727	5405	2019
728	5412	2012
729	5419	2004
730	5425	1996
731	5434	1989
732	5440	1981
733	5447	1974
734	5455	1967
735	5463	1959
736	5471	1952
737	5478	1944
738	5486	1937
739	5493	1929
740	5501	1922
741	5507	1915
742	5515	1907
743	5521	1899
744	5530	1892
745	5539	1886
746	5545	1878
747	5551	1870
748	5559	1863
749	5568	1856
750	5577	1849
751	5583	1841
752	5591	1834
753	5599	1826
754	5606	1819
755	5613	1811
756	5618	1803
757	5624	1795
758	5631	1788
759	5638	1780
760	5645	1773
761	5652	1765
762	5657	1757
763	5664	1749
764	5672	1742
